,RT,m/z,Polarity,Area (Max.),ID,molec_class,Features Found,Filter Status,20210729_AJ_Toh_RatBloodGlucose_ExtractionBlank.raw (F1),20210729_AJ_Toh_RatBloodGlucose_SolventBlank.raw (F2),1060_8_FBG,1060_8_RBG,1060_9_FBG,1060_9_RBG,1060_10_FBG,1060_10_RBG,1062_8_FBG,1062_8_RBG,20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC1.raw (F11),1062_9_FBG,20210729_AJ_Toh_RatBloodGlucose_T1062M_20210329_9wk_FBG_QC3.raw (F13),1062_9_RBG,1062_10_FBG,1062_10_RBG,1074_8_FBG,1074_8_RBG,1074_9_FBG,1074_9_RBG,1074_10_FBG,1074_10_RBG,1076_8_FBG,1076_8_RBG,1076_9_FBG,1076_9_RBG,1076_10_FBG,1076_10_RBG,1082_8_FBG,1082_8_RBG,1082_9_FBG,1082_9_RBG,1082_10_FBG,1082_10_RBG,1091_8_FBG,1091_8_RBG,1091_9_FBG,1091_9_RBG,1091_10_FBG,1091_10_RBG,1092_8_FBG,1092_8_RBG,1092_9_FBG,1092_9_RBG,1092_10_FBG,1092_10_RBG,1093_8_FBG,1093_8_RBG,1093_9_FBG,1093_9_RBG,1093_10_FBG,1093_10_RBG,1101_8_FBG,1101_8_RBG,1101_9_FBG,1101_9_RBG,1101_10_FBG,1101_10_RBG,1102_8_FBG,1102_8_RBG,1102_9_FBG,1102_9_RBG,1102_10_FBG,1102_10_RBG,20210729_AJ_Toh_RatBloodGlucose_Water_R1.raw (F65),20210729_AJ_Toh_RatBloodGlucose_Water_R2.raw (F66),20210729_AJ_Toh_RatBloodGlucose_Water_R3.raw (F67),mean,is_id,C,unsat,C_cat,unsat_cat
10,0.536,679.05463,+,24084205.57,,,49,,6939.264074,7204.617522,11455478.21,17288137.24,16208909.58,23818488.87,13962650.02,12229009.83,10494434.11,7822806.08,685473.6374,10610635.14,15424316.7,15805753.61,12939878.97,15366943.02,14069438.42,18877733.16,6530743.197,20081743.35,11666614.09,16596488.16,16942031.07,13884339.05,19806452.42,15173587.4,1388749.128,24084205.57,14153460.05,15357748.31,14464866.08,17559085.4,11525043.23,13009527.35,15219103.21,21629923.54,13937285.86,20822275.13,21296217.33,14267835.85,14850858.35,22963650.86,11800295.84,16236839.02,8071878.242,19484730.98,16661006.19,10080276.13,9897530.792,22649046.26,12113248.65,16147738.02,17754213.28,18021836.63,12319384.66,12584421.9,6377443.224,17719399.28,16472464.05,13669828.58,15683805.67,12904388.9,13538198.09,13608930.58,8616.499626,7755.590041,7473.385618,14865983.920216667,False,,,,
11,0.536,316.06808,+,18274840.04,,,2,M+1 isotope,4378.303283,4545.72707,7556174.728,6499979.365,10010097.4,10056207.12,7905047.717,5542067.78,4543498.612,4903442.213,327114.21,3664899.81,7309376.267,4475633.849,7594129.369,7564678.137,6683405.087,7488136.94,2787904.998,9753790.706,9928079.387,7640941.934,8219742.725,5620872.195,9322587.389,6987178.614,747537.6321,8597541.375,6740494.62,9448501.341,7631271.242,7094607.217,6701817.366,6597184.815,9181309.01,9987633.81,18274840.04,9795756.979,9855382.442,6674936.642,4397005.304,8431396.633,7799896.85,6676403.049,8595511.328,7520435.333,9416969.315,359761.5687,4731366.545,9621082.978,8712731.587,7056554.223,8420149.633,8487791.749,6956744.388,6618238.201,4927378.348,9648841.751,9769095.432,3891833.68,5389110.058,6525231.725,8205629.155,3259964.744,5291.964142,4646.295036,4687.676666,7291607.2363966685,False,,,,
12,0.536,970.13434,-,10683891.64,,,5,M+1 isotope,30329.5012,6519.522525,4209376.801,10683891.64,7045119.601,4359782.619,4137236.302,6070512.677,4120097.167,4173290.901,160317.9725,4277640.086,5472538.549,7525684.822,4106674.403,5351271.172,5953052.371,5431160.411,4289806.158,7100110.429,4396573.827,6287680.369,5533743.162,6149514.306,5595415.49,6400232.34,551935.7993,8496602.25,6858657.542,3935175.082,5014650.41,7317167.7,4677581.656,6280544.338,3988121.074,4481496.825,2386529.055,8206838.931,5413783.394,2830498.139,2948413.894,6098956.338,5143789.269,6367888.191,1418484.071,5933388.09,3836236.67,7426258.578,2202129.899,6912481.779,5356788.327,4670739.088,7475798.778,6657259.872,5769849.251,4794256.188,4676932.271,4614542.99,5245087.332,2949292.622,6662081.211,6139177.269,6682480.324,5159606.579,9583.047738,92077.79202,6720.363373,5312989.468838334,False,,,,
13,0.536,1009.0954,+,6413903.027,,,4,Adduct of existing peak,5674.972594,5891.980267,2717249.175,4058283.518,2988550.092,3795551.985,3024836.92,3426397.023,3435291.845,2767181.588,230918.7703,940604.875,6413903.027,2294822.284,2188683.388,3302587.941,2774111.494,2587751.059,4581102.581,4438337.983,3782099.354,3529824.573,513365.6131,3439897.457,3170316.136,2579587.222,1240755.755,3899758.264,2849075.404,3501667.212,3772423.417,4019476.405,2109822.118,475987.6132,2370761.604,4287270.794,2392650.745,3966811.689,3616187.859,2336042.146,2936886.121,3963932.516,1739031.715,3138529.057,3629317.332,4067872.568,3034315.692,3137426.869,1162860.527,5188975.587,3194896.89,3238661.127,2900454.361,4228438.087,2001921.233,3395477.793,820617.5016,3876660.149,2934824.121,3908545.994,3498313.402,3586416.708,2255874.39,3678414.313,7046.626085,6022.332235,6111.780459,3044896.486415,False,,,,
14,0.537,641.1087,+,55222376.41,,,36,,4957.644286,5147.221739,46772700.12,55222376.41,46361317.05,36999507.96,21865710.91,31437186.21,25372876.75,15701206.28,286282.5193,27771795.22,27813952.24,8711962.413,25622877.18,34409196.52,43726393.46,37490826.2,7173091.256,50073861.94,39343041.54,35528135.01,20212995.0,28194419.59,51310112.09,17548354.88,3035805.818,39693314.78,41791713.07,19532496.72,36573797.23,41847967.77,28619642.61,28711497.75,44848228.26,48444034.33,10665036.72,49039559.46,46346470.31,19655945.68,26287229.4,45412422.26,28605453.86,33333064.24,38366337.52,38503139.4,36012595.65,21254265.97,22077642.63,43059243.64,36084237.38,30110811.1,36168662.24,37466648.74,34287034.65,34155738.17,24558476.04,38528445.84,41729029.86,6220326.429,42798938.73,37898803.55,32198578.04,28891737.45,5992.201567,5261.096948,5307.954232,32661071.954766672,False,,,,
15,0.537,953.17328,+,11607932.45,,,2,Adduct of existing peak,5201.77948,5400.692522,7782841.996,7673801.084,8286942.322,4622400.282,4615106.106,6040658.789,2967634.761,2398399.882,211664.1977,2425332.585,6558539.994,4611205.887,4270729.738,5984824.961,6952818.696,7779234.877,2064987.881,8675345.291,4714252.773,7222642.762,8206533.156,5853473.727,9697455.137,5993044.225,1070887.171,7973452.087,6177280.153,3021071.803,5074848.588,7683371.571,3825332.14,5548138.866,8246006.875,5899042.283,5697186.002,11607932.45,5476150.738,2549310.656,4353057.318,7876719.642,5082854.179,4985718.931,6360756.905,8044569.731,5562999.242,3459906.295,4181082.555,9349734.601,7397884.416,3056176.956,7181418.235,7767049.723,4802226.153,6115535.327,4261596.161,6269735.457,7359297.263,4778908.066,7175280.764,8367260.377,6979485.823,5900004.713,6287.2827,5520.175424,5569.340157,5922648.952233332,False,,,,
16,0.538,645.10529,+,35309584.08,,,17,Adduct of existing peak,5479.101705,5688.619388,26500752.43,24073097.94,32901092.84,33587788.95,23821004.85,29715128.32,13582612.57,8384891.482,2041558.792,7789073.508,26888061.9,20688687.85,16905084.23,21307941.62,21704920.18,23300995.08,7193130.844,34590792.55,25809800.19,21469564.97,29659200.4,19299296.51,29953491.98,22199123.21,2235990.86,31417999.12,23344994.68,28677172.74,22575697.13,31796009.98,15560077.29,20008612.12,26159968.55,34277314.96,28370184.53,31902010.62,28802973.18,17298455.96,20405158.37,29173626.79,22737062.79,20153046.79,24322291.64,28485570.83,28864043.88,18211322.96,9508612.475,35309584.08,24198706.97,19249696.65,26735056.92,25847204.81,17695782.4,27075992.07,13400272.81,27448223.54,26946728.2,14659342.83,28795799.83,18270954.87,28833881.3,18900311.31,6622.476307,5814.472276,5866.258127,23201553.488983326,False,,,,
17,0.539,642.10889,+,47424772.92,,,12,M+1 isotope,6090.061394,6322.941822,29238712.4,39555016.07,47424772.92,34539475.67,27417811.05,28934429.71,19193393.07,14105468.57,1590461.576,16340831.49,30385041.57,16700434.95,19751064.57,27531623.71,35054218.16,31175169.1,12144130.11,44866882.9,30821201.2,30310168.33,44587986.06,25150824.29,42961574.04,28858824.0,2524895.568,46130929.79,34263302.83,18222363.69,30033238.37,40579243.9,23175538.14,25631231.56,37834548.24,39955621.37,40494553.64,10066893.37,38173753.96,19729370.3,27145489.08,33974864.12,28819378.72,8435939.279,34507545.91,35295509.05,34832402.81,19330157.08,18176150.88,44721565.37,27037239.37,20379224.31,40037926.01,33805747.59,8877344.085,29501710.55,20100018.85,33802680.7,38532501.96,18619307.82,41309669.55,24989115.4,33040084.26,24022068.14,7360.930579,6462.828223,6558.819026,28879552.299866658,False,,,,
18,0.541,643.091,-,32528631.96,,,31,Adduct of existing peak,30903.40803,6642.887511,19562241.54,17624624.27,23002978.8,31820637.63,31044287.83,24168748.97,13691012.38,11869341.93,1003506.45,11386370.48,19386601.67,24365232.52,21834691.67,20849864.19,25470736.35,23156564.82,18029620.45,29061048.86,29411562.97,22631870.87,18444358.88,23248602.17,23319011.41,19622090.29,1598630.189,28781799.4,18342829.36,32528631.96,17786633.03,27106057.16,15289440.32,19826391.56,21682721.44,29078718.29,25342217.23,28054950.99,25169673.96,24491543.77,9246726.546,25937830.78,24679004.49,19131912.41,24449592.55,14469929.23,26072444.22,24257623.9,11410397.23,26816002.85,20988999.38,25217399.12,19534911.23,22086611.04,15984672.56,21174515.36,15888632.58,29141089.1,22689274.83,23004200.88,23434707.34,24861198.06,24172569.76,19516594.02,9764.381961,93820.12445,72028.34614,21881042.95674999,False,,,,
19,0.541,951.15973,-,32381127.66,,,10,,31210.49125,6708.897037,16259389.51,32381127.66,24240650.21,9969524.962,12240584.1,24287983.35,14024378.34,14289363.56,500261.0813,12905229.08,19095265.41,25074143.01,10647833.21,17973418.39,21479046.06,13757544.97,17772086.69,28729330.96,14064272.81,23208174.38,27138146.25,32048437.84,25179070.95,23253828.58,1663566.711,30600566.14,24823983.23,8646979.005,18181809.65,26337479.03,18722228.95,24474323.96,14854938.73,22454839.67,23265294.9,22532458.58,17782537.29,3993011.155,9132579.86,26666662.98,16211881.69,19471282.7,16274523.74,17368646.86,13530453.53,24491943.25,8735852.518,23077456.92,18084369.02,13522412.25,19142177.78,23250971.03,18026723.55,16588840.84,13496342.23,15699164.4,19125932.28,12168198.47,20368608.7,19528222.23,19539215.5,15434617.96,9861.40938,94752.40307,72744.08263,18636577.702683333,False,,,,
20,0.542,329.03067,-,288277026.4,,,55,,35414.6409,7612.606206,129019863.3,67602836.68,209789265.4,217059858.9,151754559.3,232183947.1,118735467.4,191392900.3,6381284.414,140423626.7,170472671.5,245613944.4,193258459.1,201420000.3,205923916.4,225896334.5,161557245.2,212017103.8,201599953.4,203076561.8,183854689.0,192630527.4,201211482.5,122775785.7,22151942.96,247618206.9,150937557.8,114324367.6,188803875.3,231263740.4,166653067.6,238038486.3,227571002.6,189510416.6,142463253.0,211750813.5,172325867.8,192183915.5,79927725.45,242265599.7,200734289.6,176580237.0,232851050.7,149293712.0,136530658.6,112964029.5,111440472.6,202958359.2,208687407.0,188008701.1,165039338.4,207781994.2,157576528.1,217341441.4,128211291.4,288277026.4,114266418.0,145278124.9,176354883.6,223619620.9,179076688.8,165124249.7,235854.3305,107515.8446,82542.93541,178576411.51150003,False,,,,
21,0.542,663.08435,+,11325771.73,,,2,M+1 isotope,4099.497471,4152.94789,7629694.106,7576356.995,9599327.976,10159484.53,6278352.058,7988262.128,4540463.775,2231084.483,287525.0784,2759692.26,7090872.066,6909680.621,5040704.042,7162615.324,6277100.829,8642748.206,2467362.247,9833263.332,6772098.26,7051623.624,9320889.614,6612491.702,9792588.958,6518958.649,1111881.305,10160062.43,7261934.404,8879634.804,7108105.423,9937040.052,5299165.164,6677935.882,7314081.626,10222440.02,11325771.73,9832737.495,8098395.018,5652494.022,6746653.348,8585500.775,7161107.302,6584453.068,9822602.885,7787644.244,8413610.133,4100040.093,3678626.204,10432312.83,7595326.303,6439516.448,7475405.85,9260748.218,5879558.662,7778220.382,3500547.992,8256365.819,8756448.187,4894529.355,8553466.827,6199488.432,5770915.975,6425386.876,4954.977355,4350.423788,4389.170278,7169083.3217,False,,,,
22,0.544,677.04102,-,20511544.93,,,47,Adduct of existing peak,40401.4282,8684.548403,11949094.38,8570681.862,12176876.2,20292669.21,16377145.87,14631596.65,8395003.867,9653325.897,1204903.444,7964909.741,4792322.843,20511544.93,15213381.57,9532787.877,14615519.69,17132937.08,10476275.61,9530471.698,15676422.16,15861917.87,8736741.402,10529475.93,6100113.293,7478777.166,942764.2061,11754656.53,6162351.369,14293106.72,14006356.76,15086197.7,9113634.157,11829126.99,10751259.66,15716895.14,5810459.98,12969638.26,15113747.76,15802273.81,9878194.384,16335617.1,14064586.59,14534401.07,9868662.308,8246360.098,14739224.83,6713519.867,8273280.018,10018671.81,12841888.3,16446524.73,7942167.591,16332907.34,8884254.13,17397046.81,9495655.443,19275702.79,7001365.849,13538392.39,12116693.57,15693980.2,13780201.9,13165269.76,269065.3232,122655.3077,94165.92669,12122411.797884999,False,,,,
23,0.544,969.13147,-,16972960.37,,,14,,36157.66032,7772.323038,10891965.47,16972960.37,14112598.49,5828326.675,7216628.264,11105718.2,6906003.247,6922304.194,191124.897,8222578.778,11275045.94,13703290.01,6667397.753,9840100.241,6517963.745,11839501.07,7109025.966,12546602.83,6655209.007,10275901.8,6439191.643,11578317.56,7618582.024,10317682.75,681656.4071,14907127.0,7110013.534,5477882.397,4376205.752,11937090.92,8089105.403,11708190.83,10386431.98,8204882.105,3452861.714,12594044.24,5381199.414,3022488.127,4954662.345,5136129.347,8558984.538,9870417.448,8912733.398,6381818.965,11071790.45,6923498.016,3505334.308,11917934.86,9341663.344,7580782.643,11790220.47,10934655.29,7257362.037,9879814.545,6178661.045,6578465.142,8023916.555,4351532.486,11324090.27,10406612.1,8373267.305,9059848.112,240802.6892,109771.5886,84274.7334,8582187.082151668,False,,,,
24,0.544,627.12927,+,14062425.29,,,12,Adduct of existing peak,5907.660698,6133.566229,6989016.721,5745414.924,7675524.952,4404661.716,3121378.886,3450690.316,2620107.237,585876.1956,240387.0188,2696872.308,4084427.94,4013119.13,3380615.335,3418930.931,6191928.15,4287284.489,917111.0021,6133643.528,4268169.477,3597969.83,6306693.272,3353673.382,6745002.411,5557086.099,560175.9741,5896426.72,5398688.274,2379451.477,3762566.921,5996990.875,2595369.953,3102778.628,4620629.536,6045315.843,14062425.29,5551774.086,5028864.094,2343947.962,3906802.164,4502810.116,4482687.062,3809600.26,5066289.193,5306228.963,5876544.392,3053029.601,2481046.939,5281292.743,4400230.477,3302600.506,5692290.175,4457842.081,2865446.337,4246106.166,1704085.512,4689913.976,4851513.002,2544319.436,7890285.819,4025275.819,5280446.664,3233092.157,7140.466651,6269.262955,6325.09934,4429265.924746668,False,,,,
25,0.544,678.03973,-,9751057.595,,,2,M+1 isotope,46963.63667,10263.30027,6136781.493,4158044.929,5203460.568,9447893.74,8932271.152,5485954.658,4186729.351,5657012.109,622583.1061,4674741.222,6327782.215,9751057.595,8452359.581,8853946.346,7083518.816,7353610.57,5250711.464,7147962.483,7855049.586,7349394.506,3081560.24,6319271.979,6779945.858,4684016.903,1414067.319,8860588.885,3587174.304,9376028.348,5357849.437,6954608.99,5494295.441,7107356.426,6321482.701,8856823.641,3134794.794,8944022.805,8004234.34,9504969.735,4659214.535,7053369.679,7842288.114,5703014.36,8067582.327,4574605.365,8804775.409,7148248.752,3239318.629,5811454.417,5391584.091,8500293.549,5360037.516,9097863.888,6869318.015,9746300.842,5491324.185,7830509.137,3465004.913,9519045.818,6789883.8,9646204.213,7019875.453,7416192.718,312768.3016,142577.6158,109460.8425,6696848.367333334,False,,,,
26,0.544,351.01343,+,8987270.697,,,2,Adduct of existing peak,7817.639923,7232.572421,4642460.839,6624657.041,6925223.269,7874147.435,3282924.683,3532666.653,5028378.617,4340691.301,308947.3253,3972017.21,5489838.048,4675174.18,6425732.123,4777877.55,6566556.816,6685747.783,3068577.463,5873691.757,7710209.253,6517267.243,3662044.109,4629812.543,8987270.697,5489752.742,1144691.378,7572808.893,5212913.928,6601563.281,5007617.33,7216276.997,5737842.975,6086492.636,4757542.233,7652973.578,6236725.406,8414258.459,8128235.988,7380600.292,3521411.587,7161215.196,4976974.365,7142264.487,7009688.276,7290529.658,6711611.995,4833423.314,4060045.587,7298418.216,7128313.527,6484564.464,6168465.15,6184581.675,6056299.75,6318687.662,6836443.622,8563181.361,7544870.369,5267665.28,7634264.186,7134417.946,6496445.88,6420057.245,8419.888241,7827.34928,7458.42424,6044787.7579833325,False,,,,
