PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
15	Unknown	143	0.6576372	0.8587396	1.063042	241.9858	5177.62841796875	86414.78125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	64.30492	241.98579:6266 242.13829:5506 242.17519:4913 242.28423:9419 243.13495:3458 244.13333:10285 244.19073:5914 246.13326:4592 246.24286:6391	
16	w/o MS2:1,3-bis(4,4-dimethyl-4,5-dihydrooxazol-2-yl)benzene	143	0.3883494	0.8587396	1.063042	273.1675	4472.212890625	99554.7578125	null	[M+H]+	M + 0		null	273.15976	C16H20N2O2	Benzene and substituted derivatives	MUBZACKCHQIRSY-UHFFFAOYSA-N	CC1(C)COC(=N1)C1=CC(=CC=C1)C1=NC(C)(C)CO1	530	True	True	False	null	null	null	null	74.1	79.82674	273.16751:5153 273.20618:3566 274.27402:28102 278.13889:5277	
17	w/o MS2:NCGC00380646-01!(E)-5-(4-methoxy-5-methyl-6-oxopyran-2-yl)-3-methylhex-4-enoic acid	143	0.6576372	0.8587396	1.063042	284.1491	4079.82177734375	62272.734375	null	[M+H]+	M + 0		null	284.14926	C14H18O5	Medium-chain fatty acids	MPAYQRIVOSEDQH-UHFFFAOYNA-N	COC1=C(C)C(=O)OC(=C1)C(C)=CC(C)CC(O)=O	530	True	True	False	null	null	null	null	100	72.26022	284.14911:5580 284.22156:3217 284.3317:4292 284.97232:6863 285.18124:5948 286.20129:8500 288.25327:764799	
18	Unknown	143	0.4563391	0.8587396	1.063042	284.9723	4975.3955078125	77932.2734375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	99.50791	284.97232:6863 285.18124:5948 286.20129:8500 288.25327:764799 289.25671:129715	
19	Unknown	154	0.2536471	0.9262001	1.466003	92.9631	3873.5732421875	60734.515625	null	[M+H]+	M + 0	similar chromatogram in higher mz_20	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	77.47147	92.9631:5026 94.06563:79187 95.06089:203908 95.06895:4769 95.08603:9329 96.06427:9736 96.08129:30984 97.06528:7932 97.07654:66714 97.0782:7736	
20	Unknown	154	0.4563391	0.9262001	1.26549	117.6561	3773.41455078125	56695.203125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	75.46829	117.65605:6124 118.06535:6676 118.08654:270821 118.12293:753404 119.06059:4472 119.08582:8355 119.08985:15528 119.12:3879 119.12622:43627 120.05588:4232 120.08104:44549 120.10216:27902 120.96661:8150 121.96644:99477 122.06043:4749 122.07156:11558 122.09669:86984	
21	Unknown	154	0.2536471	0.9262001	2.13945	130.1592	846964.25	72911056	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	9833.588	130.06522:6818 130.08635:22401 130.12274:10163 130.13612:10737 130.14217:115754 130.14482:6354 130.15921:896049 131.14551:4023 131.16255:78849 131.96196:10432 132.10207:78760 132.13841:11544 133.07613:11251 133.10143:4890 133.10538:8882 133.86644:4722 134.08127:4474 134.09659:17675 134.11771:58137 135.05527:4342 135.0919:5616 135.10164:13837 135.11693:4526	53.00293:1168 53.39642:732 55.55375:775 56.98985:876 57.07059:29501 58.11509:748 60.51004:692 63.28848:714 63.82603:715 63.91117:909 66.17803:693 66.49621:722 66.50896:747 68.96092:726 72.08135:1558 73.08475:3146 74.09706:26818 81.43821:757 84.3121:731 86.43787:679 86.96864:687 88.07635:992 93.43559:762 97.49939:813 98.05943:811 112.79681:756 120.07465:735 128.78287:864 130.06531:1078 130.08646:1161 130.1357:1058 130.14224:6065 130.15923:61736 133.85666:814 144.03999:730
22	Unknown	154	0.7244977	0.9262001	1.130423	240.028	6311.51513671875	108373.453125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	86.94116	240.02803:12963 240.14243:9441 240.17006:6330 240.23204:6084 241.1545:15736 241.98572:7317 242.13858:5440 242.28416:11273 243.13455:4898 243.2063:5725 244.13347:8194	
23	Unknown	176	0.1166866	1.063042	1.669907	131.1625	80171.1640625	5450948	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1020.51	131.1179:4351 131.16252:88557 131.16525:6341 131.96191:5749 132.10199:90548 133.07614:6450 133.30957:3524 134.07135:6535 134.08128:4329 134.0966:11127 134.11771:69932 135.08069:6149 135.08389:5143 135.10167:15508 136.02164:11469 136.06174:10516 136.0759:6325 136.08704:11080 136.09709:6017 136.11218:17471	
24	w/o MS2:NCGC00385635-01!(E)-3-[3-methoxy-4-[1-(3,4,5-trimethoxyphenyl)propan-2-yloxy]phenyl]prop-2-en-1-ol	176	0.8587396	1.063042	1.604218	406.2217	4897.66748046875	89396.9609375	null	[M+H]+	M + 0		null	406.22241	C22H28O6	Cinnamyl alcohols	CZVGIALASULOAU-UHFFFAOYNA-N	COC1=CC(CC(C)OC2=C(OC)C=C(C=CCO)C=C2)=CC(OC)=C1OC	530	True	True	False	null	null	null	null	99.8	97.95335	406.17633:4704 406.20117:5727 406.22171:7637	
25	Unknown	198	0.9968669	1.199417	1.466003	235.9131	4695.71728515625	89285.5625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	81.6132	235.91307:5866 236.07329:17525 236.12877:6081 236.21234:7702 237.12401:5391 237.19614:26776 238.15518:7541 238.18076:8897 239.13908:142524 239.14886:17525 240.02785:10035 240.14256:19881 240.17035:7571 240.23262:9788	
26	w/o MS2:NCGC00384744-01!5-hydroxy-3-[4-hydroxy-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-7-methoxychromen-4-one	198	0.7923395	1.199417	1.535297	485.1049	4664.79443359375	98174.78125	null	[M+H]+	M + 0		null	485.10544	C22H22O11	7-O-methylisoflavones	GODZRCRSZUIPBM-UHFFFAOYNA-N	COC1=CC(O)=C2C(=O)C(=COC2=C1)C1=C(OC2OC(CO)C(O)C(O)C2O)C=C(O)C=C1	530	True	True	False	null	null	null	null	99.8	93.29588	485.10486:4962 487.08664:10784	
27	w/o MS2:NCGC00179780-02_C20H32O_(5xi,9xi)-Beyer-15-en-18-ol	209	0.7244977	1.26549	1.669907	271.2458	4042.26489257813	61722.73046875	null	[M+H]+	M + 0		null	271.24203	C20H32O	Diterpenoids	CIGQQQTZOIDQQR-UHFFFAOYNA-N	CC12CC3(CCC4C(C)(CO)CCCC4(C)C3CC1)C=C2	530	True	True	False	null	null	null	null	93.1	80.8453	271.14438:4404 271.1521:21951 271.22644:4401 271.24582:5723 272.1438:5586 272.15106:5201 274.27399:33656 276.19598:3579	
28	w/o MS2:Pesticide3_Forchlorfenuron_C12H10ClN3O_Urea, N-(2-chloro-4-pyridinyl)-N'-phenyl-	220	0.5224808	1.331838	2.072762	248.0589	6692.900390625	107573.3203125	null	[M+H]+	M + 0	similar chromatogram in higher mz_30; similar chromatogram in higher mz_34; similar chromatogram in higher mz_36; similar chromatogram in higher mz_40; similar chromatogram in higher mz_41	null	248.05852	C12H10ClN3O	2-halopyridines	GPXLRLUVLMHHIK-UHFFFAOYSA-N	OC(NC1=CC(Cl)=NC=C1)=NC1=CC=CC=C1	530	True	True	False	null	null	null	null	99.9	133.858	248.05888:6875 250.05089:29878 251.04631:5550 251.13922:5850 251.175:4835 251.18481:7454 252.13748:13112	
29	Unknown	220	0.5224808	1.331838	2.13945	337.0234	6676.09326171875	93518.0078125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	133.5219	337.02341:13678 338.34143:12247 339.74268:4381 340.0448:4675	
30	w/o MS2:Unknown (carbon number 22); PlaSMA ID-2436	220	0.3883494	1.331838	2.072762	447.1162	3709.37329101563	53175.5625	null	[M+H]+	M + 0		3.97	447.12561	C22H22O10	NA			530	True	True	False	100	null	null	null	64.3	74.18747	447.11621:7005 447.34512:7224 448.35187:5569	
31	w/o MS2:NCGC00380462-01!5,7-dihydroxy-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-8-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	220	0.9262001	1.331838	1.938051	536.1657	26940.3046875	769621.875	null	[M+H]+	M + 0	adduct linked to 32_[M+NH4]+	null	536.16101	C21H26O15	Coumarin glycosides	YRVGYJMSCQFOCA-UHFFFAOYNA-N	OCC1OC(OC2=C3OC(=O)C=CC3=C(O)C(C3OC(CO)C(O)C(O)C3O)=C2O)C(O)C(O)C1O	530	True	True	False	null	null	null	null	89.5	448.7813	536.16571:39931 537.16632:24868 538.16315:13045	
32	w/o MS2:benzyl 2-neohesperidosyloxy-6-hydroxybenzoate	220	0.5224808	1.331838	2.13945	553.197	11779.42578125	192488.65625	null	[M+NH4]+	M + 0	adduct linked to 31_[M+H]+	null	553.19159	C26H32O13	Phenolic glycosides	VRFDHCWJQWIDHH-UHFFFAOYNA-N	CC1OC(OC2C(O)C(O)C(CO)OC2OC2=CC=CC(O)=C2C(=O)OCC2=CC=CC=C2)C(O)C(O)C1O	530	True	True	False	null	null	null	null	86.6	235.5885	553.19696:19574 554.17487:16211 554.19604:10247 555.1748:5401 556.17297:5220	
33	Unknown	220	0.5224808	1.331838	2.072762	554.1749	7809.6298828125	108967.6640625	null	[M+NH4]+	M + 1	isotope of 32	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	156.1926	554.17487:16211 554.19604:10247 555.1748:5401 556.17297:5220 558.42078:25871	
34	w/o MS2:NCGC00385199-01!2-[3,4-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]phenyl]-5,7-dihydroxychromen-4-one	220	0.6576372	1.331838	2.13945	628.1928	9996.1005859375	166246.59375	null	[M+H]+	M + 0		null	628.18719	C27H30O16	Flavonoid O-glycosides	XKAYFELZCPZDEK-UHFFFAOYNA-N	OCC1OC(OC2=C(OC3OC(CO)C(O)C(O)C3O)C=C(C=C2)C2=CC(=O)C3=C(O)C=C(O)C=C3O2)C(O)C(O)C1O	530	True	True	False	null	null	null	null	85.4	199.922	628.19373:14620 629.19489:14153 630.19446:5009 631.19141:5286	
35	w/o MS2:NCGC00385199-01!2-[3,4-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]phenyl]-5,7-dihydroxychromen-4-one	220	0.5224808	1.331838	2.13945	628.1937	9996.1005859375	166246.59375	null	[M+H]+	M + 0		null	628.18719	C27H30O16	Flavonoid O-glycosides	XKAYFELZCPZDEK-UHFFFAOYNA-N	OCC1OC(OC2=C(OC3OC(CO)C(O)C(O)C3O)C=C(C=C2)C2=CC(=O)C3=C(O)C=C(O)C=C3O2)C(O)C(O)C1O	530	True	True	False	null	null	null	null	80.8	199.922	628.19373:14620 629.19489:14153 630.19446:5009 631.19141:5286	
36	w/o MS2:S4:16(P3:14/F1:2); PlaSMA ID-3107	220	0.5224808	1.331838	2.072762	640.3124	6103.0009765625	88467.1875	null	[M+H]+	M + 0		8.04	640.32068	C28H46O15	NA	TVWKJMQVETZQNH-UHFFFAOYNA-N	CCCCC(=O)OC1C(CO)OC(OC2(CO)OC(CO)C(OC(C)=O)C2O)C(OC(=O)CCC)C1OC(=O)CCCC	530	True	True	False	99.8	null	null	null	70.9	122.06	640.31238:10997	
37	Unknown	220	0.4563391	1.331838	2.340858	655.3356	104021.6796875	1779384.875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	2080.434	655.33557:179082 656.25177:7352 656.34015:36394 659.28711:24480	
38	Unknown	220	0.9262001	1.331838	1.669907	698.2543	27797.66015625	631806.125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	455.894	698.25427:42317 699.25574:29903 700.2522:16721 701.25562:6934 702.21289:14548 703.21332:6529	
39	Unknown	220	0.3883494	1.331838	1.669907	700.2522	12235.7138671875	258828.453125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	244.7143	700.2522:16721 701.25562:6934 702.21289:14548 703.21332:6529 704.21124:5075	
40	Unknown	220	0.5224808	1.331838	2.072762	702.2129	7719.30859375	110615.4453125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	154.3862	702.21289:14548 703.21332:6529 704.21124:5075	
41	w/o MS2:1,2-Dipalmitoyl-sn-glycero-3-phospho-rac-(1-glycerol) sodium salt	220	0.5224808	1.331838	2.13945	723.5118	7606.73046875	122821.21875	null	[M+H]+	M + 0		null	723.51709	C38H75O10P	Phosphatidylglycerols	BIABMEZBCHDPBV-TYIYNAFKSA-N	CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC[C@@H](O)CO)OC(=O)CCCCCCCCCCCCCCC	530	True	True	False	null	null	null	null	87.1	152.1346	723.51184:13432	
42	Unknown	220	0.4563391	1.331838	2.478364	848.3889	9196.4150390625	137600.625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	183.9283	848.38885:14485 849.39124:4900 850.24933:5118	
43	Unknown	231	0.4563391	1.399763	2.273529	85.1018	5681.89990234375	116049.3125	null	[M+H]+	M + 0	similar chromatogram in higher mz_54; similar chromatogram in higher mz_58; similar chromatogram in higher mz_61; similar chromatogram in higher mz_63; similar chromatogram in higher mz_66; similar chromatogram in higher mz_73; similar chromatogram in higher mz_75; similar chromatogram in higher mz_76; similar chromatogram in higher mz_85; similar chromatogram in higher mz_87; similar chromatogram in higher mz_90; similar chromatogram in higher mz_91; similar chromatogram in higher mz_94; similar chromatogram in higher mz_96; similar chromatogram in higher mz_97; similar chromatogram in higher mz_99	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	113.638	85.06535:8467 85.07656:16442 85.1018:4780 86.06062:57490 86.097:102649 87.04462:55254 87.05582:7806 88.04794:5372 88.07626:248705 88.11263:24157 89.06024:15461 89.07149:6407 89.07957:16791 90.09189:110649	
44	w/o MS2:delta-Dodecalactone; LC-ESI-QTOF; MS2; [M+H]+; CE	231	1.063042	1.399763	2.005254	199.1693	31961.75	983563.4375	null	[M+H]+	M + 0		null	199.16925	C12H22O2	Delta valerolactones	QRPLZGZHJABGRS-UHFFFAOYNA-N	CCCCCCCC1CCCC(=O)O1	530	True	True	False	null	null	null	null	100	513.6201	199.00143:22578 199.09657:6804 199.10771:5915 199.13293:10104 199.16948:40638 199.18059:26732 199.21649:7832 199.99939:8400 200.12822:13781 200.17282:5338 200.20088:4907 200.23718:14030 200.99669:10786 202.18025:176667 203.09119:8458 203.10654:8195 203.18373:21889 204.06631:6925 204.10202:14342 204.1236:7218	
45	Unknown	231	0.7244977	1.399763	2.072762	218.1707	9395.9521484375	113948.78125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	187.9191	218.17067:28188 219.13757:5840 219.17442:10901 219.18582:10560 220.16948:11549 221.08434:7632 221.11728:20034 221.15356:6611 222.11267:6489 222.149:6995 223.06364:85853 223.09613:6169 223.13309:12806 223.16922:10826	
46	w/o MS2:Unknown (carbon number 11); PlaSMA ID-843	231	1.130423	1.399763	2.005254	223.0636	70046.9453125	1505124.25	null	[M+H]+	M + 0	found in higher mz's MsMs_47	3.57	223.0619	C11H10O5	NA			530	True	True	False	100	null	null	null	98.6	1331.875	223.06364:85853 223.09613:6169 223.13309:12806 223.16922:10826 224.06331:14104 224.16457:6899 224.20108:6881 225.04272:12330 225.06044:6768 225.12318:9054 225.14835:11036 225.18439:8036 225.19681:4607 225.20743:127077 226.18045:26467 226.21054:12657 226.21631:5830 227.12726:18196 227.13867:6868 227.16383:7702 227.17491:10693 227.20039:24545 227.21169:14559	56.93624:915 67.76794:769 68.29806:690 69.65687:784 70.78903:856 71.31499:702 72.62722:736 73.25451:830 73.29243:765 75.29781:1740 81.47576:748 83.4332:780 88.61023:880 91.05779:1127 98.36082:832 100.64069:839 102.67348:831 102.77539:851 104.21999:853 117.65353:1015 125.36584:786 138.24832:892 139.82574:904 149.02342:2755 149.05962:1011 151.15639:852 159.11658:887 163.07506:954 178.2196:1015 178.99585:879 207.03215:1139 219.59369:1730 219.60019:2959 223.06369:4486 223.16931:1140 223.21686:1387 225.04292:53545
47	w/o MS2:Unknown (carbon number 11); PlaSMA ID-843	231	1.130423	1.399763	2.005254	223.0636	70046.9453125	1505124.25	null	[M+H]+	M + 0		3.57	223.0619	C11H10O5	NA			530	True	True	False	100	null	null	null	98.5	1331.875	223.06364:85853 223.09613:6169 223.13309:12806 223.16922:10826 224.06331:14104 224.16457:6899 224.20108:6881 225.04272:12330 225.06044:6768 225.12318:9054 225.14835:11036 225.18439:8036 225.19681:4607 225.20743:127077 226.18045:26467 226.21054:12657 226.21631:5830 227.12726:18196 227.13867:6868 227.16383:7702 227.17491:10693 227.20039:24545 227.21169:14559	56.93624:915 67.76794:769 68.29806:690 69.65687:784 70.78903:856 71.31499:702 72.62722:736 73.25451:830 73.29243:765 75.29781:1740 81.47576:748 83.4332:780 88.61023:880 91.05779:1127 98.36082:832 100.64069:839 102.67348:831 102.77539:851 104.21999:853 117.65353:1015 125.36584:786 138.24832:892 139.82574:904 149.02342:2755 149.05962:1011 151.15639:852 159.11658:887 163.07506:954 178.2196:1015 178.99585:879 207.03215:1139 219.59369:1730 219.60019:2959 223.06369:4486 223.16931:1140 223.21686:1387 225.04292:53545
48	Unknown	231	0.2536471	1.399763	2.340858	224.0633	11425.78515625	197591.296875	null	[M+H]+	M + 1	isotope of 46	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	228.5157	224.06331:14104 224.16457:6899 224.20108:6881 225.04272:12330 225.06044:6768 225.12318:9054 225.14835:11036 225.18439:8036 225.19681:4607 225.20743:127077 226.18045:26467 226.21054:12657 226.21631:5830 227.12726:18196 227.13867:6868 227.16383:7702 227.17491:10693 227.20039:24545 227.21169:14559 228.12317:23274 228.19585:40015 228.23238:28480 228.26823:5359	
49	w/o MS2:Pesticide1_Mevinphos Isomer 1*_C7H13O6P_2-Butenoic acid, 3-[(dimethoxyphosphinyl)oxy]-, methyl ester, (2E)-	231	0.6576372	1.399763	1.938051	225.0427	11835.9443359375	368195.21875	null	[M+H]+	M + 0		null	225.05225	C7H13O6P	Fatty acid esters	GEPDYQSQVLXLEU-UHFFFAOYSA-N	COC(=O)C=C(C)OP(=O)(OC)OC	530	True	True	False	null	null	null	null	63.6	236.7189	225.04272:12330 225.06044:6768 225.12318:9054 225.14835:11036 225.18439:8036 225.19681:4607 225.20743:127077 226.18045:26467 226.21054:12657 226.21631:5830 227.12726:18196 227.13867:6868 227.16383:7702 227.17491:10693 227.20039:24545 227.21169:14559 228.12317:23274 228.19585:40015 228.23238:28480 228.26823:5359 229.14345:10580	
