PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
10	w/o MS2:NCGC00384641-01_C22H34O6_(1aR,2S,2aS,5R,5aS,6S,7aS)-2-Acetoxy-5-hydroxy-5-isopropyl-2a,7a-dimethyldecahydroazuleno[5,6-b]oxiren-6-yl (2Z)-2-methyl-2-butenoate	121	0.5228939	0.7253858	1.19928	377.229	2824.18994140625	46552.61328125	null	[M+H]+	M + 0		null	377.23224	C22H34O6	Fatty acid esters	WVPPLOSRTXOZAP-UHFFFAOYNA-N	CC=C(C)C(=O)OC1CC2(C)OC2C(OC(C)=O)C2(C)CCC(O)(C(C)C)C12	530	True	True	False	null	null	null	null	94.9	56.4838	377.22937:5202 380.17334:5137 380.33679:5269 382.20071:8072	
11	w/o MS2:NCGC00380308-01!methyl 2-ethyl-4-[(3R,4R,5S)-5-hydroxy-4,5-dimethyl-2-oxooxolan-3-yl]-2-methyl-3-oxobutanoate	132	0.4539501	0.7913526	1.469385	304.1749	6223.9423828125	188041.5625	null	[M+H]+	M + 0		null	304.17548	C14H22O6	Annonaceous acetogenins	VOYCJQSSBDMXNQ-UHFFFAOYNA-N	CCC(C)(C(=O)CC1C(C)C(C)(O)OC1=O)C(=O)OC	530	True	True	False	null	null	null	null	99.8	124.4788	304.17493:5174 308.19681:7720	
12	Unknown	143	0.180881	0.8587776	1.330566	130.1593	881215.6875	47171400	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	10171.92	130.06532:4662 130.08652:21190 130.12285:8204 130.14215:28426 130.15929:918638 131.16264:77036 132.10213:107516 133.07625:10579 133.10555:5609 133.96494:4762 134.0816:4018 134.09665:9187 134.1178:56020 134.97279:4511 135.09192:7090 135.10175:15242 135.11684:3769	51.66668:712 53.00294:1081 54.99613:691 57.07061:35520 57.07141:1895 60.25854:752 64.0379:685 66.39109:759 68.297:708 68.62495:810 72.08144:2852 73.08478:3073 74.09709:22923 74.16472:711 75.29767:1098 75.57403:824 76.9197:782 85.99552:767 87.04655:731 94.42726:867 95.90614:750 104.21733:955 122.12257:867 130.06535:1233 130.08652:1449 130.13594:1069 130.14226:10081 130.15927:59237 132.50647:797
13	w/o MS2:NCGC00380661-01_C23H36O12_	154	0.590367	0.9264027	1.330566	505.2208	4858.8134765625	130471.0078125	null	[M+H]+	M + 0		null	505.22797	C23H36O12	Saccharolipids	LVOGPECZHVNNHD-UHFFFAOYNA-N	COC(=O)C(C)=CCCC(C)(OC1OC(COC(=O)CC(C)(O)CC(O)=O)C(O)C(O)C1O)C=C	530	True	True	False	null	null	null	null	77.2	97.17627	505.09769:5102 505.22076:6647	
14	Unknown	165	0.7253858	0.9925612	1.469385	83.43771	5234.8212890625	89278.59375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	104.6964	83.04979:4544 83.06097:38021 83.08615:8912 83.43771:5688 84.04499:8424 84.05776:3936 84.08135:9232 85.06536:3444 85.07664:12246 86.06065:57334 86.09702:21634 87.04465:6751 87.05585:9129 87.09228:7058 88.02208:6348 88.07627:269991 88.11267:23333	
15	Unknown	165	0.7913526	0.9925612	1.265282	471.4247	13237.572265625	251729.21875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	245.7029	471.42465:13247 473.26474:12022 476.19803:6532	
16	Unknown	176	0.2500082	1.06309	1.400703	131.1626	84735.7578125	4325557.5	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	1084.727	131.0856:5788 131.118:6764 131.1626:79414 131.16527:5881 131.96187:8080 132.1021:112743 132.53586:4765 133.07629:10016 133.10547:5420 134.0715:5933 134.0966:13054 134.11777:64912 135.09169:8569 135.10178:14690 135.12096:6197 136.02182:7467 136.06184:5446 136.07581:8331 136.08688:5497 136.11214:33528	
17	Unknown	176	0.387875	1.06309	1.602895	403.2335	19112.451171875	712908.8125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	382.249	403.23346:23643 404.23648:7445 405.17273:32985 405.19989:17806	
18	Unknown	176	0.3160874	1.06309	1.265282	408.3692	6620.9140625	183121.328125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	132.4183	408.36917:8791	
19	Unknown	176	0.7913526	1.06309	1.400703	428.2752	4585.10546875	94295.09375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	91.70211	428.27524:6208 429.28998:6166	
20	Unknown	187	0.6565211	1.128774	1.330566	182.1905	121781.609375	4217184	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	817.1564	182.08478:19350 182.1179:8197 182.16554:9912 182.19049:147608 182.94878:7432 183.10172:12418 183.13866:5826 183.14923:14887 183.19391:14213 184.16988:6606 184.1812:31376 184.96477:5114 185.12866:17845 185.16501:18463 186.05818:54499 186.1127:8487 186.12378:48645 186.12805:8105 186.1488:5862 186.18553:7187 186.19667:10095 186.22174:140064 186.99554:27815 187.10802:5024 187.12672:60935	51.66549:733 55.055:1014 60.08154:1128 61.00325:1015 64.88524:1053 66.75235:832 67.23508:773 71.43026:709 74.00567:861 83.08619:3792 83.43344:798 89.95538:851 97.77908:691 97.93138:913 100.11255:4818 104.21864:1010 117.65146:944 119.33891:789 119.72615:830 123.01133:1029 134.0748:757 138.4084:769 139.12297:1347 144.17198:729 165.13864:1023 166.99744:739 167.79686:799 168.14447:752 182.08475:11903 182.11778:2256 182.19054:35363 188.40451:783 193.71118:879 195.46478:861
21	Unknown	187	0.4539501	1.128774	1.737531	354.2845	16873.634765625	727351.0625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	318.4653	354.28452:22138	
22	Unknown	187	0.590367	1.128774	1.737531	354.2856	16873.634765625	716597.125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	308.2844	354.28452:22138	
23	Unknown	198	0.5228939	1.19928	1.803312	380.3372	10143.046875	368827.25	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	202.8609	380.17404:11698 380.33722:12406 382.2005:8086 383.21741:55237 384.22183:11208	
24	Unknown	209	0.3160874	1.265282	2.074373	364.3426	5689.72607421875	116786.734375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	113.7945	364.34259:7389 365.20734:67784 366.21075:13709 368.42563:4284	
25	w/o MS2:Pesticide1_Mevinphos Isomer 1*_C7H13O6P_2-Butenoic acid, 3-[(dimethoxyphosphinyl)oxy]-, methyl ester, (2E)-	220	1.128774	1.330566	1.737531	225.0428	9307.75	183719.578125	null	[M+H]+	M + 0		null	225.05225	C7H13O6P	Fatty acid esters	GEPDYQSQVLXLEU-UHFFFAOYSA-N	COC(=O)C=C(C)OP(=O)(OC)OC	530	True	True	False	null	null	null	null	64	161.3153	225.04305:17538 225.06084:6694 225.12363:4661 225.19618:10419 225.20746:124650 226.07465:6456 226.10757:8036 226.12234:4933 226.18028:21404 226.21072:17441 227.02213:5216 227.13889:7826 227.16437:5831 227.17532:12810 227.20065:12665 227.21185:14290 228.12308:28916 228.15952:5221 228.19615:36558 228.23254:23642 229.14275:8525	
26	Unknown	220	1.128774	1.330566	1.803312	350.3261	7101.72119140625	160069.671875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	142.0344	350.32608:7854 353.20657:6340 354.28546:11929 355.06964:33510	
27	w/o MS2:Pralatrexate(Folotyn)	220	0.5228939	1.330566	2.145408	478.1783	12647.8828125	207069.5	null	[M+H]+	M + 0		null	478.18335	C23H23N7O5	Glutamic acid and derivatives	OGSBUKJUDHAQEA-UHFFFAOYNA-N	NC1=NC(N)=C2N=C(CC(CC#C)C3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)C=NC2=N1	530	True	True	False	null	null	null	null	88.2	252.9577	478.17834:22989 479.17834:8870 480.17535:8132 482.40491:6543	
28	w/o MS2:Bosentan	220	0.4539501	1.330566	2.213517	552.1968	26619.318359375	445471.3125	null	[M+H]+	M + 0		null	552.1911	C27H29N5O6S	Bipyrimidines and oligopyrimidines	GJPICJJJRGTNOD-UHFFFAOYSA-N	CC(C)(C)C1=CC=C(C=C1)S(NC2=C(C(=NC(C3=NC=CC=N3)=N2)OCCO)OC4=CC=CC=C4OC)(=O)=O	530	True	True	False	null	null	null	null	85.1	532.3864	552.19678:51041 553.19684:25593 554.17572:15362 555.17474:9529	
29	Unknown	220	0.5228939	1.330566	2.145408	553.1968	13276.0224609375	210225.203125	null	[M+H]+	M + 1	isotope of 28	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	265.5204	553.19684:25593 554.17572:15362 555.17474:9529	
30	w/o MS2:NCGC00385199-01!2-[3,4-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]phenyl]-5,7-dihydroxychromen-4-one	220	0.5228939	1.330566	2.145408	628.1918	12622.2373046875	205844.671875	null	[M+H]+	M + 0	similar chromatogram in higher mz_31	null	628.18719	C27H30O16	Flavonoid O-glycosides	XKAYFELZCPZDEK-UHFFFAOYNA-N	OCC1OC(OC2=C(OC3OC(CO)C(O)C(O)C3O)C=C(C=C2)C2=CC(=O)C3=C(O)C=C(O)C=C3O2)C(O)C(O)C1O	530	True	True	False	null	null	null	null	90.1	252.4447	628.19177:22660 629.19598:11002 630.19586:12490	
31	w/o MS2:S4:19(P3:17/F1:2); PlaSMA ID-3168	220	0.5228939	1.330566	2.005996	682.3635	8919.9248046875	127511.6171875	null	[M+H]+	M + 0		9.49	682.37207	C31H52O15	NA	NNYRMMBHXZJRGM-UHFFFAOYNA-N	CCCCCC(=O)OC1C(OC2(CO)OC(CO)C(OC(C)=O)C2O)OC(CO)C(OC(=O)CCCC)C1OC(=O)CCCCC	530	True	True	False	99.7	null	null	null	69.1	178.3985	682.36346:17453 683.36761:8588 685.43536:6630	
32	w/o MS2:NCGC00380208-01!bis[[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]methyl] 3-hydroxy-3-methylpentanedioate	220	1.128774	1.330566	1.87366	699.2566	29019.4375	666952.125	null	[M+H]+	M + 0		null	699.24945	C32H42O17	Phenolic glycosides	HIVUDBSYRZRZSH-UHFFFAOYNA-N	CC(O)(CC(=O)OCC1=CC=C(OC2OC(CO)C(O)C(O)C2O)C=C1)CC(=O)OCC1=CC=C(OC2OC(CO)C(O)C(O)C2O)C=C1	530	True	True	False	null	null	null	null	77.5	481.1527	699.22888:4958 699.25659:46748 700.25385:36051 701.25293:17288 702.21191:15650 702.24725:8225 703.21692:12016 704.21423:10261	
33	Unknown	220	1.06309	1.330566	2.145408	775.2722	9342.4638671875	163148.0625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	186.8493	775.27222:12863 776.23102:9788 776.27032:6035 777.23212:12658 778.22858:9277	
34	w/o MS2:NCGC00385911-01_C15H24O2_2(1H)-Naphthalenone, 4a,5,6,7,8,8a-hexahydro-6-hydroxy-3,8-dimethyl-5-(1-methylethyl)-, (4aR,5S,6S,8R,8aS)-	231	1.06309	1.400703	2.005996	219.1745	13029.2392578125	312373.4375	null	[M+H]+	M + 0		null	219.17435	C15H24O2	Sesquiterpenoids	KLDSZMWMGCWFKH-UHFFFAOYNA-N	CC(C)C1C(O)CC(C)C2CC(=O)C(C)=CC12	530	True	True	False	null	null	null	null	100	260.5848	219.17476:14865 219.19609:10664 220.04115:5576 220.16972:10098 220.20633:6874 221.11754:22544 222.14905:7049 222.17029:6360 223.06371:58569 223.09663:11855 223.13301:18401 223.16946:11897 223.72089:9009 223.72652:10786 224.06342:10625 224.16446:8202	
35	w/o MS2:Unknown (carbon number 11); PlaSMA ID-843	231	1.06309	1.400703	1.87366	223.0637	48905.82421875	1088568.125	null	[M+H]+	M + 0	adduct linked to 49_[2M+H]+	3.57	223.0619	C11H10O5	NA			530	True	True	False	100	null	null	null	98.4	897.2062	223.06371:58569 223.09663:11855 223.13301:18401 223.16946:11897 223.72089:9009 223.72652:10786 224.06342:10625 224.16446:8202 225.0428:9225 225.11226:8579 225.12285:6329 225.14859:21409 225.18484:11327 225.2074:106450 226.09787:6021 226.12192:7581 226.18044:36307 226.21098:11176 227.12766:16911 227.13916:9674 227.16446:16977 227.17561:8747 227.2007:23678	
36	w/o MS2:Unknown (carbon number 11); PlaSMA ID-843	231	1.06309	1.400703	1.87366	223.0637	48905.82421875	1088568.125	null	[M+H]+	M + 0	similar chromatogram in higher mz_44; similar chromatogram in higher mz_45; similar chromatogram in higher mz_51; similar chromatogram in higher mz_54; similar chromatogram in higher mz_62; similar chromatogram in higher mz_64; similar chromatogram in higher mz_69; similar chromatogram in higher mz_71; similar chromatogram in higher mz_78	3.57	223.0619	C11H10O5	NA			530	True	True	False	100	null	null	null	98.4	897.2062	223.06371:58569 223.09663:11855 223.13301:18401 223.16946:11897 223.72089:9009 223.72652:10786 224.06342:10625 224.16446:8202 225.0428:9225 225.11226:8579 225.12285:6329 225.14859:21409 225.18484:11327 225.2074:106450 226.09787:6021 226.12192:7581 226.18044:36307 226.21098:11176 227.12766:16911 227.13916:9674 227.16446:16977 227.17561:8747 227.2007:23678	
37	w/o MS2:Pesticide3_Forchlorfenuron_C12H10ClN3O_Urea, N-(2-chloro-4-pyridinyl)-N'-phenyl-	231	0.6565211	1.400703	2.279258	248.0592	5614.41796875	77573.78125	null	[M+H]+	M + 0		null	248.05852	C12H10ClN3O	2-halopyridines	GPXLRLUVLMHHIK-UHFFFAOYSA-N	OC(NC1=CC(Cl)=NC=C1)=NC1=CC=CC=C1	530	True	True	False	null	null	null	null	99.8	112.2884	248.05916:12380 248.16403:8294 248.97865:7023 249.14868:8663 249.20561:6006 250.05109:27606 251.04712:15484 251.16435:12604 251.18541:7810 251.20065:9082 252.1375:12842	
38	w/o MS2:NCGC00381266-01!4-hydroxy-5-[2-[(E)-3-hydroxyprop-1-enyl]-4-methylphenyl]-3-methylhexan-2-one	231	0.3160874	1.400703	2.548659	259.1695	10299.6728515625	157491.328125	null	[M+H]+	M + 0		null	259.16925	C17H24O3	Aromatic monoterpenoids	FTTQBBNJVTYJPS-UHFFFAOYNA-N	CC(C(O)C(C)C1=C(C=CCO)C=C(C)C=C1)C(C)=O	530	True	True	False	null	null	null	null	100	205.9935	259.16946:15203 259.19067:6097 260.12817:8504 260.16464:340123 260.18573:84336 261.16034:9125 261.16803:60303 261.18924:15016 262.18073:5522 262.19165:6441 262.23767:5582 263.20071:5535	
39	Unknown	231	0.5228939	1.400703	2.074373	281.051	10788.7744140625	196169.953125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	215.7755	281.05096:9076 281.14999:6143 281.24792:10873 282.14777:6917 282.16833:6761 282.22198:9641 283.15421:7226 283.1651:6208 283.18939:10536 283.22604:6615 283.26315:12956 284.22192:12304 285.01031:6677 285.20563:7355	
40	Unknown	231	0.387875	1.400703	2.279258	281.0513	10788.7744140625	196169.953125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	215.7755	281.05096:9076 281.14999:6143 281.24792:10873 282.14777:6917 282.16833:6761 282.22198:9641 283.15421:7226 283.1651:6208 283.18939:10536 283.22604:6615 283.26315:12956 284.22192:12304 285.01031:6677 285.20563:7355	
41	w/o MS2:Flunixin meglumin	231	0.5228939	1.400703	2.75177	297.0828	34230.54296875	720093.8125	null	[M+H]+	M + 0		null	297.08453	C14H11F3N2O2	Trifluoromethylbenzenes	NOOCSNJCXJYGPE-UHFFFAOYSA-N	CC1=C(C=CC=C1NC1=NC=CC=C1C(O)=O)C(F)(F)F	530	True	True	False	null	null	null	null	98.6	684.6108	297.08282:40030 297.24176:12126 298.08344:7051 299.06183:22465 299.22171:11422 300.06122:7943 301.14108:56465	
42	w/o MS2:2-hydroxy-3-(3-hydroxy-3-methylbutyl)naphthalene-1,4-dione	231	0.7253858	1.400703	1.87366	299.0618	16681.439453125	331818.3125	null	[M+H]+	M + 0		null	299.06802	C15H16O4	Vitamin K compounds	OVRABUAZHGSQBY-UHFFFAOYSA-N	CC(C)(O)CCC1=C(O)C(=O)C2=CC=CC=C2C1=O	530	True	True	False	null	null	null	null	82.5	333.6288	299.06183:22465 299.22171:11422 300.06122:7943 301.14108:56465 302.14468:10152 302.19632:6749	
43	Unknown	231	0.3160874	1.400703	1.737531	336.3106	8263.4345703125	262112.578125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	165.2687	336.1806:13148 336.31064:9645 337.02405:15507 338.34198:16823 341.01889:6710	
44	w/o MS2:Phenolsulfonphthalein	231	0.7913526	1.400703	2.074373	355.07	24976.396484375	512966.21875	null	[M+H]+	M + 0	found in higher mz's MsMs_45	null	355.06348	C19H14O5S	Benzofuranones	BELBBZDIHDAJOR-UHFFFAOYSA-N	OC1=CC=C(C=C1)C1(OS(=O)(=O)C2=CC=CC=C12)C1=CC=C(O)C=C1	530	True	True	False	null	null	null	null	80.6	499.528	355.07004:29302 356.07028:11416 357.06674:6946 358.36859:7173 359.02887:9862	
45	w/o MS2:NCGC00386042-01!8-hydroxy-6-methoxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	231	1.06309	1.400703	1.938431	371.1014	105494.59375	2094323.5	null	[M+H]+	M + 0		null	371.09726	C16H18O10	Coumarin glycosides	RVWWDDKOKZXKCJ-UHFFFAOYNA-N	COC1=C(OC2OC(CO)C(O)C(O)C2O)C(O)=C2OC(=O)C=CC2=C1	530	True	True	False	null	null	null	null	91.6	2019.367	371.10144:140488 372.10223:37467 372.34775:6078 373.09885:18042 374.09998:7189	50.70066:825 58.9369:864 66.45302:970 67.25269:881 73.04747:7499 80.42863:897 91.05793:52484 93.03719:2210 100.83846:996 100.8445:868 102.63185:834 104.21255:901 111.30183:923 112.42246:878 112.87909:1023 114.07364:4270 115.91705:827 117.64615:944 117.86223:876 117.88861:813 121.15005:900 127.2523:1003 133.85501:1082 137.36629:908 147.06517:1114 149.04494:1305 153.66002:951 156.53351:899 167.05559:2848 168.33418:1158 186.49225:888 187.27808:866 190.22708:1036 196.50043:1157 202.36945:1083 239.33159:956 243.21603:894 268.26367:6304 268.97839:8794 285.00977:32308 299.06189:5118 299.29099:938 303.02042:7955 304.03018:3257 332.66602:1110 355.06989:17445 371.16205:1351 371.22012:1072
46	Unknown	231	0.8587776	1.400703	1.87366	372.1022	31197.16796875	543103.125	null	[M+H]+	M + 1	isotope of 45	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	623.9434	372.10223:37467 372.34775:6078 373.09885:18042 374.09998:7189	
47	Unknown	231	0.4539501	1.400703	2.213517	373.0988	16161.31640625	293689.625	null	[M+H]+	M + 2	isotope of 45	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	323.2263	373.09885:18042 374.09998:7189 377.22961:8150 377.32629:7302	
48	w/o MS2:Di(2-ethylhexyl)phthalate (DEHP)	231	1.128774	1.400703	1.670239	391.2842	27847.802734375	592281.875	null	[M+H]+	M + 0		null	391.28427	C24H38O4	Benzoic acid esters	BJQHLKABXJIVAM-UHFFFAOYNA-N	CCCCC(CC)COC(C1=CC=CC=C1C(=O)OCC(CC)CCCC)=O	530	True	True	False	null	null	null	null	100	440.2227	391.19034:6311 391.28424:34171 394.18976:15313 394.35217:15936	
49	w/o MS2:Unknown (carbon number 22); PlaSMA ID-2431	231	1.06309	1.400703	2.34768	445.1195	27309.412109375	504667.3125	null	[2M+H]+	M + 0	adduct linked to 35_[M+H]+	3.7	445.1134	C22H20O10	NA			530	True	True	False	100	null	null	null	83	546.1882	445.11951:39286 445.16467:27240 445.24658:38214 446.12054:9189 446.24954:9675 447.11761:7002	
50	Unknown	231	0.590367	1.400703	2.213517	446.1205	8276.1025390625	148522.84375	null	[2M+H]+	M + 1	isotope of 49	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	165.522	446.12054:9189 446.24954:9675 447.11761:7002	
51	w/o MS2:NCGC00380462-01!5,7-dihydroxy-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-8-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	231	1.06309	1.400703	1.803312	536.1658	22265.134765625	621049.3125	null	[M+H]+	M + 0		null	536.16101	C21H26O15	Coumarin glycosides	YRVGYJMSCQFOCA-UHFFFAOYNA-N	OCC1OC(OC2=C3OC(=O)C=CC3=C(O)C(C3OC(CO)C(O)C(O)C3O)=C2O)C(O)C(O)C1O	530	True	True	False	null	null	null	null	89	342.4366	536.16583:23120 537.16675:10237 538.16431:9083	
52	Unknown	231	1.128774	1.400703	2.483919	610.1843	15532.189453125	299139.90625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	310.6438	610.18427:21674	
53	Unknown	231	0.590367	1.400703	2.074373	617.4667	11743.9931640625	177244.4375	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	234.8799	617.46667:18509 618.46808:5661 620.43646:12750 621.41797:5621	
54	Unknown	231	0.590367	1.400703	2.074373	630.1923	6370.26611328125	103623.9140625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	127.4053	630.19226:6323 634.27228:7791	
55	Unknown	231	0.387875	1.400703	2.005996	637.3054	528816.375	9452433	null	[M+H]+	M + 0	adduct linked to 59_[M+NH4]+; adduct linked to 63_[M+Na]+	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	10576.33	637.30542:671304 638.30902:251816 639.31232:50073 640.3136:9985	53.17913:1073 57.07059:47249 65.03921:1206 71.4522:1339 83.04971:27212 83.43124:1192 85.3175:1113 87.04635:1081 91.05463:3414 91.2987:1176 92.40001:1312 100.8805:1223 104.21269:1510 105.0702:2123 115.19164:1088 116.72507:1261 117.97356:1124 119.08559:1074 130.99626:1118 133.10124:1817 141.06989:4927 147.1169:34888 151.01537:1904 159.0804:6880 161.1324:3661 163.01549:4021 169.07602:2154 175.01558:7288 186.78125:1313 189.16385:2740 205.63506:1485 217.12985:2548 217.13611:8272 227.04686:7065 239.04683:18634 244.38515:1410 260.9928:2388 283.10913:2297 295.10947:3284 312.81097:1440 313.11969:1386 337.02362:136703 393.08627:78630 413.05505:5407 444.11203:1219 448.96143:1350 449.14978:1396 469.11774:39174 482.91171:1272 487.77847:1408 506.15308:1414 525.18042:126759 534.72144:1161 544.38873:1304 581.2431:259772
56	Unknown	231	0.4539501	1.400703	2.34768	638.309	190628.078125	3346489.75	null	[M+H]+	M + 1	isotope of 55	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	3812.562	638.30902:251816 639.31232:50073 640.3136:9985	
