i,Annotation,Human association to T2D incidence,Nile rat non-fasted association to OGTT glucAUC,Nile rat fasted association to OGTT glucAUC,Elastic net fasted importance,Elastic net non-fasted importance,Elastic net fasted coefficient sign,Elastic net non-fasted coefficient sign,Nonfasted indiv linear model q-value,Nonfasted indiv linear model p-value,Fasted indiv linear model q-value,Fasted indiv linear model p-value,SRR,SRR 95% CI,SRR p-value,SRR q-value
l_227,PI 18:0_20:4,Not significant,Positive,Positive,0.121797704,0.004475773,+,+,0.000576034,0.000108115,0.028419259,0.002636427,1.04,0.90; 1.19,0.615,0.728
l_232,PC O-40:7,Not in human SRR analysis,Positive,Positive,0.358270457,0,+,-,0.011529072,0.004467618,0.003337398,9.00E-05,,,,
l_235,PC 18:2_18:2,Not significant,Positive,Not significant,0,0,-,-,0.000123269,1.60E-05,0.847456765,0.700099131,0.93,0.82; 1.06,0.261,0.411
l_239,PC 35:4,Not in human SRR analysis,Positive,Not significant,0.174717953,0.002647317,+,+,0.004255742,0.001398445,0.054957151,0.007658391,,,,
l_240,FA 24:1,Not in human SRR analysis,Positive,Not significant,0.28795462,0.232181265,-,+,0.000445885,8.04E-05,0.204045395,0.059074246,,,,
l_241,Plasmanyl-PC O-34:4,Not in human SRR analysis,Positive,Positive,0.218494024,0,+,-,0.001132002,0.000277979,0.006846295,0.000315833,,,,
l_242,FA 22:0,Not in human SRR analysis,Positive,Not significant,0.187850691,0,-,-,0.002757132,0.000839468,0.369725286,0.157359907,,,,
l_244,PI 18:2_18:0,Not significant,Positive,Not significant,0,0,-,-,0.006746924,0.002394224,0.895099654,0.805682259,1,0.93; 1.08,0.936,0.974
l_252,PC 16:0_22:6,Not significant,Not significant,Not significant,0.044350806,0,+,-,0.18155263,0.111199375,0.139781953,0.032953001,0.94,0.88; 0.99,0.032,0.091
l_254,PC 15:0_18:2,Not significant,Not significant,Not significant,0,9.17E-05,-,+,0.058061303,0.028515559,0.954648312,0.922804117,0.83,0.64; 1.07,0.142,0.27
l_256,PC 18:1_22:6,Not significant,Not significant,Not significant,0.000366617,0.000153591,+,-,0.525297621,0.412394264,0.404633812,0.184081102,0.68,0.39; 1.20,0.188,0.333
l_259,PC 35:3,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.390625578,0.28555312,0.81168871,0.627344929,,,,
l_260,PC O-32:1,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.011268922,0.004310822,0.706278277,0.478204028,,,,
l_261,SM d34:1,Not significant,Not significant,Not significant,0,0,-,-,0.462517307,0.35414153,0.876870492,0.75302576,0.97,0.88; 1.08,0.699,0.728
l_264,PC 37:5,Not in human SRR analysis,Not significant,Not significant,0.000221314,0,-,-,0.303013801,0.210754809,0.93619926,0.887030527,,,,
l_266,PI 18:0_20:3,Increased,Not significant,Not significant,0,0,-,-,0.416843893,0.310931818,0.748587579,0.535540298,1.13,1.05; 1.21,0.001,0.005
l_269,Plasmanyl-PC O-34:3,Not in human SRR analysis,Positive,Not significant,0,7.48E-06,-,+,0.007847458,0.002846026,0.789612856,0.59459137,,,,
l_270,Plasmanyl-PC O-16:0_20:5,Not in human SRR analysis,Positive,Not significant,0.00058958,0.000138356,-,+,0.009109765,0.003368479,0.740744967,0.525723894,,,,
l_271,Plasmenyl-PE P-16:0_20:5,Not in human SRR analysis,Not significant,Not significant,0,0.002122107,-,-,0.318744509,0.223958171,0.78214089,0.583911635,,,,
l_272,Plasmanyl-PC O-38:6,Not in human SRR analysis,Not significant,Not significant,0.005506609,0.030593007,+,-,0.689733111,0.590175877,0.217865313,0.066179102,,,,
l_274,SM d36:2,Not significant,Positive,Not significant,0.001790798,0,-,-,0.021302143,0.009192124,0.875099804,0.746028742,1,0.90; 1.11,0.991,0.998
l_275,PC 14:0_16:0,Increased,Positive,Not significant,0.001012952,0,+,-,0.018153007,0.007639981,0.286232257,0.10210113,1.07,1.03; 1.12,0.001,0.005
l_279,PC 16:0_20:4,Not significant,Positive,Not significant,0.08223422,0.000127319,+,+,0.028639187,0.012744336,0.053094058,0.007197278,0.93,0.82; 1.06,0.261,0.411
l_283,PC O-36:3,Not in human SRR analysis,Positive,Not significant,0,0.012468009,-,+,0.003608855,0.001147457,0.93619926,0.88664754,,,,
l_285,PC 38:5,Not significant,Not significant,Not significant,0,0.035936232,-,-,0.309923227,0.216880271,0.470218689,0.245502926,0.95,0.90; 1.01,0.089,0.192
l_289,PC 32:1,Not significant,Not significant,Not significant,0.107173664,4.47E-05,-,-,0.820859337,0.753825881,0.112557687,0.023805671,1.09,0.99; 1.21,0.093,0.199
l_291,PC O-38:6,Not in human SRR analysis,Positive,Positive,0.149979798,0,+,-,0.021008712,0.009050595,0.027499895,0.002439664,,,,
l_292,PI 18:0_22:4,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.042786901,0.019981392,0.914727064,0.845911543,,,,
l_295,PI 18:0_20:3,Increased,Not significant,Not significant,0,0.000124378,-,-,0.218461823,0.140162873,0.810920362,0.622722379,1.13,1.05; 1.21,0.001,0.005
l_298,Plasmenyl-PE P-18:1_22:6,Not in human SRR analysis,Positive,Not significant,0,0.300099314,-,+,2.04E-06,6.08E-08,0.353175899,0.143154036,,,,
l_299,PC 39:6,Not significant,Not significant,Not significant,0.096899798,8.06E-05,+,-,0.19940237,0.125387154,0.346082548,0.139759382,0.73,0.46; 1.15,0.178,0.317
l_300,PE 16:0_20:4,Not significant,Not significant,Not significant,0.028806868,0.006678376,-,+,0.662653431,0.561068519,0.822069467,0.643843138,1.18,0.98; 1.41,0.075,0.171
l_301,FA 23:0,Not in human SRR analysis,Positive,Not significant,0.059698142,0.139081832,-,+,0.001743063,0.000467621,0.46672299,0.239170171,,,,
l_305,PC 16:0_18:2,Not significant,Not significant,Not significant,5.39E-05,0,+,-,0.06814477,0.034531842,0.723898945,0.502978756,1.01,0.89; 1.15,0.866,0.92
l_306,Plasmenyl-PE P-38:6,Not in human SRR analysis,Positive,Not significant,0,0.000242729,-,+,0.001641428,0.000435695,0.603926952,0.360819486,,,,
l_308,Plasmanyl-PC O-16:0_22:6,Not in human SRR analysis,Not significant,Not significant,0.024107771,0,+,-,0.117619698,0.065863692,0.212793427,0.063732311,,,,
l_310,PC 18:2_18:1,Not significant,Positive,Not significant,5.66E-05,0,-,-,0.037646711,0.017340465,0.563108469,0.323560676,1,0.92; 1.08,0.943,0.978
l_313,PC O-40:6,Not in human SRR analysis,Not significant,Positive,0.066058986,0,+,-,0.071836477,0.036810459,0.033404221,0.003461332,,,,
l_318,Plasmenyl-PE P-18:1_22:6,Not in human SRR analysis,Positive,Positive,0.001869947,0.001319416,+,+,8.73E-05,1.00E-05,0.028419259,0.002647666,,,,
l_319,PC 18:0_20:5,Not significant,Positive,Not significant,0,0.013127696,-,+,0.013854942,0.00557541,0.666612076,0.429110825,0.95,0.90; 1.01,0.089,0.192
l_321,Plasmanyl-PC O-33:2,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.008307839,0.003036577,0.42889914,0.208513776,,,,
l_323,PI 18:1_18:0,Not significant,Not significant,Not significant,0,0,-,-,0.166173868,0.100246833,0.937184205,0.89234533,1.04,0.93; 1.17,0.504,0.627
l_325,PC 18:1_20:3,Not significant,Not significant,Not significant,0.000190468,0,-,-,0.126468955,0.07174008,0.697439413,0.466774568,0.98,0.95; 1.01,0.206,0.353
l_326,SM d35:1,Not significant,Positive,Not significant,0.015845805,0.136518867,-,+,0.001073763,0.000256819,0.943627334,0.904308608,1.02,0.90; 1.16,0.77,0.861
l_327,PE 16:0_18:2,Increased,Not significant,Not significant,0,0.007516313,-,-,0.238532198,0.15574849,0.7553773,0.54595915,1.19,1.1; 1.29,0.001,0.001
l_328,Plasmanyl-PC O-36:5,Not in human SRR analysis,Not significant,Not significant,0,0.009496272,-,-,0.79919271,0.724321569,0.333800514,0.132692896,,,,
l_330,PC 39:4,Not in human SRR analysis,Positive,Not significant,0,0.005910329,-,+,0.000107667,1.33E-05,0.245797584,0.080943988,,,,
l_331,PI 18:0_20:2,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.293355009,0.200081025,0.630911117,0.39062365,,,,
l_335,PC 36:3,Not significant,Not significant,Not significant,0,0,-,-,0.102565553,0.056414694,0.659262067,0.423443698,1,0.92; 1.08,0.943,0.978
l_336,PC 31:0,Not in human SRR analysis,Not significant,Not significant,0.039779987,0,-,-,0.23322262,0.151785055,0.699048678,0.469362131,,,,
l_337,PC 17:0_20:4,Not significant,Positive,Not significant,0.200811192,0.015282094,+,+,0.007818265,0.00282989,0.221578126,0.068806185,0.81,0.58; 1.13,0.212,0.358
l_338,PC 33:1,Not significant,Not significant,Not significant,0.289200881,0.004086732,-,-,0.734125439,0.637991627,0.18775604,0.05170287,1.09,0.85; 1.38,0.504,0.627
l_343,Plasmanyl-PC O-16:0_20:4,Not in human SRR analysis,Positive,Positive,0.073357379,0.063219772,+,+,0.00274056,0.000832477,0.020441255,0.001552317,,,,
l_344,Plasmenyl-PC P-38:4,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.213772339,0.135636956,0.531094871,0.291367165,,,,
l_346,Plasmanyl-PC O-38:5,Not in human SRR analysis,Not significant,Not significant,0.009712179,0.000446018,+,+,0.059460219,0.029413607,0.092428829,0.018039693,,,,
l_347,Plasmenyl-PE P-16:0_20:4,Not in human SRR analysis,Positive,Not significant,0.002073679,0.018576577,+,+,0.005516007,0.001906526,0.061411855,0.010170713,,,,
l_349,Plasmenyl-PC P-16:0_18:2,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.124334304,0.070241381,0.636923441,0.397466655,,,,
l_350,Plasmanyl-PC O-34:3,Not in human SRR analysis,Positive,Not significant,0,8.45E-06,-,+,0.002819305,0.000862399,0.221578126,0.068722062,,,,
l_356,PC 18:0_22:6,Not significant,Positive,Positive,0.360264438,0.326892865,+,+,4.83E-05,4.73E-06,0.001359892,1.93E-05,1.05,0.97; 1.13,0.266,0.411
l_358,Plasmenyl-PE P-38:5,Not in human SRR analysis,Not significant,Not significant,0.021955827,0.027292844,+,+,0.050197244,0.023940772,0.131713909,0.030622026,,,,
l_360,PC 37:3,Not in human SRR analysis,Not significant,Not significant,0.084612721,0,-,-,0.215316237,0.137227807,0.291610903,0.107117749,,,,
l_361,PC 17:0_18:2,Not significant,Positive,Not significant,0,0,-,-,0.010924777,0.004155912,0.761457212,0.555015299,0.81,0.67; 0.97,0.025,0.075
l_366,FA 24:0,Not in human SRR analysis,Positive,Not significant,0.015998636,0.002443355,-,+,0.000813096,0.00017947,0.7028352,0.474875167,,,,
l_368,PC 42:6,Not significant,Not significant,Not significant,0,0,-,-,0.059919673,0.029683415,0.204045395,0.058633963,1.05,0.98; 1.13,0.193,0.338
l_369,Plasmanyl-PC O-16:0_18:2,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.005107304,0.001743515,0.495083065,0.265120083,,,,
l_372,PE 18:0_22:6,Increased,Positive,Positive,0.211772552,0,+,-,0.018871777,0.00795588,0.009221547,0.000525421,1.21,1.13; 1.29,0.001,0.001
l_373,Plasmanyl-PC O-36:3,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.01221252,0.004784465,0.697218907,0.465637326,,,,
l_374,Plasmenyl-PC P-18:0_18:2,Not in human SRR analysis,Positive,Not significant,1.44E-05,0,-,-,0.011339856,0.00437015,0.875099804,0.746833036,,,,
l_376,PE O-36:3,Not in human SRR analysis,Positive,Not significant,0,0,-,-,0.047555085,0.022410629,0.626968425,0.38534752,,,,
l_377,Plasmenyl-PE P-16:0_18:2,Not in human SRR analysis,Positive,Not significant,0,0.000292848,-,+,0.023169169,0.010014211,0.76073632,0.552549547,,,,
l_378,Plasmanyl-PE O-36:4,Not in human SRR analysis,Positive,Not significant,0,0.000284618,-,+,0.002212927,0.000638771,0.424114763,0.204520299,,,,
l_380,Plasmanyl-PC O-38:5,Not in human SRR analysis,Positive,Not significant,0.000464271,0.000427906,-,+,0.002393752,0.000703345,0.816605267,0.634042698,,,,
l_381,Plasmenyl-PE P-18:0_20:5,Not in human SRR analysis,Not significant,Not significant,0,0,-,-,0.112155472,0.062565082,0.943627334,0.90478391,,,,
l_384,SM d36:1,Not significant,Positive,Not significant,0,0.088462242,-,+,8.61E-05,9.78E-06,0.828288102,0.66251291,1.11,1.01; 1.21,0.028,0.081
