animal,sex,cohort,Nile rat label,Date of birth,litter,original,validation,lcms_sampled,glucose_tolerance,OGTT_age,OGTT(0min),OGTT(10min),OGTT(20min),OGTT(30min),OGTT(60min),OGTT(120min),OGTT (AUC),Insulin(0min),Insulin(10min),Insulin(20min),Insulin(30min),Insulin(60min),Insulin(120min),Insulin (AUC),RBGweek4,RBGweek8,RBGweek9,RBGweek10,RBGweek11,RBGweek12,RBGweek20,RBGweek21,RBGweek22,RBGweek23,RBGweek24,RBGweek25,RBGweek26,RBGweek27,RBGweek28,RBGweek29,RBGweek30,RBGweek31,RBGweek32,RBGweek33,RBGweek34,lastRBG,FBGweek8,FBGweek9,FBGweek10,FBGweek11,FBGweek12,InsulinFBGweek8,InsulinFBGweek9,InsulinFBGweek10,InsulinFBGweek11,InsulinFBGweek12,InsulinRBGweek8,InsulinRBGweek9,InsulinRBGweek10,InsulinRBGweek11,InsulinRBGweek12,WeightRBGweek4,WeightRBGweek8,WeightRBGweek9,WeightRBGweek10,WeightRBGweek11,WeightRBGweek12,WeightFBGweek8,WeightFBGweek9,WeightFBGweek10,WeightFBGweek11,WeightFBGweek12,Weightprefastweek8,Weightprefastweek9,Weightprefastweek10,Weightprefastweek11,Weightprefastweek12,HbA1c,Interscapular brown fat (g),BF (%BW),Inguinal white fat one side (g),WF (%BW),BF/WF,Plasma,Fatty liver,Notes
1727,M,30wk,M3,,,False,True,True,,31.0,105.0,135.0,218.0,298.5,433.5,289.0,636.708333333333,,,,,,,,,,,,,,185.0,129.0,122.0,262.0,278.5,229.0,222.0,198.5,180.0,182.0,221.0,315.0,,,,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,M,30wk,M4,,,False,True,True,,31.0,120.5,221.0,306.5,394.5,452.0,322.0,729.458333333333,,,,,,,,,,,,,,76.0,212.0,224.0,223.0,241.0,241.0,215.0,294.0,278.5,229.5,276.0,353.0,,,,353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1731,F,30wk,F6,,,False,True,True,,34.0,67.0,143.5,316.0,296.5,376.3,447.5,686.975,,,,,,,,,,,,,,94.0,78.0,124.0,102.0,88.0,80.0,74.0,76.0,82.0,78.0,113.0,97.5,67.0,127.0,87.5,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,M,30wk,M2,,,False,True,True,,32.0,96.5,147.0,236.5,269.0,399.5,339.5,631.0,,,,,,,,,,,,,,,,,,75.5,68.0,90.0,64.0,79.0,88.0,96.0,210.0,,,,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735,M,30wk,M1,,,False,True,True,,33.0,73.0,137.5,301.5,357.0,371.0,250.0,601.5,,,,,,,,,,,,,,69.0,67.0,76.0,72.0,96.0,63.0,84.0,83.0,86.0,81.0,107.0,99.5,176.0,224.5,,224.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,M,30wk,M5,,,False,True,True,,32.0,63.5,244.5,345.0,357.5,484.5,296.0,734.083333333333,,,,,,,,,,,,,,64.0,69.0,79.5,68.5,84.5,78.0,88.0,94.0,142.0,155.0,243.0,,,,,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,F,30wk,F2,,,False,True,True,,34.0,81.0,135.0,194.5,246.0,296.0,261.5,496.416666666666,,,,,,,,,,,,,,69.0,75.0,97.5,80.0,81.0,92.0,81.0,60.0,73.0,107.0,84.0,114.0,193.0,105.0,116.0,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748,F,30wk,F5,,,False,True,True,,33.0,66.5,210.5,219.0,465.0,387.5,209.5,627.5,,,,,,,,,,,,,,88.0,73.0,100.0,82.0,92.0,72.0,83.0,72.0,59.0,81.0,74.0,149.0,218.0,246.5,,246.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,F,30wk,F1,,,False,True,True,,36.0,77.0,113.0,159.5,235.0,289.5,163.5,429.041666666666,,,,,,,,,,,,,,66.0,102.0,89.0,88.5,82.0,83.0,61.0,89.0,86.0,71.0,91.0,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,F,30wk,F4,,,False,True,True,,35.0,75.5,152.5,203.5,298.0,449.0,188.5,595.958333333333,,,,,,,,,,,,,,,,,,107.0,90.0,96.5,86.0,76.0,111.0,84.0,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,F,30wk,F3,,,False,True,True,,35.0,72.0,166.0,199.5,288.5,327.0,232.0,524.333333333333,,,,,,,,,,,,,,77.0,96.5,115.5,108.5,103.0,109.5,87.0,87.0,93.0,106.0,,,,,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
