"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"Tryptophan Metabolism",60,3,11.471,1.7241,0.0013611,0.042195,0.0025621
"Retinol Metabolism",37,1,16.393,1.7241,0.0014686,0.044058,0.0026855
"Ammonia Recycling",32,6,8.8085,1.7241,0.0022933,0.066504,0.0040769
"Aspartate Metabolism",35,7,9.1277,1.7241,0.0027807,0.077861,0.0048099
"Phospholipid Biosynthesis",29,1,11.095,1.7241,0.009941,0.26841,0.015906
"Phosphatidylcholine Biosynthesis",14,1,11.095,1.7241,0.009941,0.26841,0.015906
"Phosphatidylethanolamine Biosynthesis",12,1,11.095,1.7241,0.009941,0.26841,0.015906
"Selenoamino Acid Metabolism",28,2,9.3094,1.7241,0.010955,0.26841,0.0171
"Betaine Metabolism",21,2,7.4177,1.7241,0.015225,0.35017,0.0232
"Glutathione Metabolism",21,2,8.2866,1.7241,0.016736,0.3682,0.02491
"Phenylalanine and Tyrosine Metabolism",28,4,5.8257,1.7241,0.024933,0.5236,0.036266
"Alanine Metabolism",17,3,4.9308,1.7241,0.056435,1,0.080263
"Glutamate Metabolism",49,4,4.6796,1.7241,0.059806,1,0.083208
"Tyrosine Metabolism",72,2,4.9758,1.7241,0.063307,1,0.086205
"Nicotinate and Nicotinamide Metabolism",37,4,4.0274,1.7241,0.079556,1,0.10608
"Methionine Metabolism",43,3,2.9281,1.7241,0.17185,1,0.22445
"Glycerolipid Metabolism",25,1,2.8806,1.7241,0.19875,1,0.2544
"Purine Metabolism",74,4,1.7327,1.7241,0.32076,1,0.40252
"Lysine Degradation",30,1,0.26229,1.7241,0.70008,1,0.81463
"Folate Metabolism",29,1,0.26229,1.7241,0.70008,1,0.81463
"Arachidonic Acid Metabolism",69,1,0.26229,1.7241,0.70008,1,0.81463
"Malate-Aspartate Shuttle",10,1,0.26229,1.7241,0.70008,1,0.81463
"Propanoate Metabolism",42,3,0.63578,1.7241,0.73258,1,0.83724
"Pantothenate and CoA Biosynthesis",21,1,0.056367,1.7241,0.85834,1,0.88603
"Riboflavin Metabolism",20,1,0.056367,1.7241,0.85834,1,0.88603
"Butyrate Metabolism",19,1,0.056367,1.7241,0.85834,1,0.88603
"Thiamine Metabolism",9,1,0.056367,1.7241,0.85834,1,0.88603
"Ethanol Degradation",19,1,0.056367,1.7241,0.85834,1,0.88603
"Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",27,1,0.056367,1.7241,0.85834,1,0.88603
"Cysteine Metabolism",26,2,0.16813,1.7241,0.89688,1,0.91111
"Phenylacetate Metabolism",9,2,0.096376,1.7241,0.91782,1,0.91782
