Bracket Type=4
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Unknown,20210831_KAO_HILIC_T1082M_20210408_10wk_RBG,Y:A9,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:A9,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1092M_20210327_8wk_FBG,Y:B1,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:B1,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1060M_20210322_8wk_FBG,Y:B2,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:B2,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1093M_20210330_8wk_RBG,Y:B3,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:B3,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1074M_20210401_9wk_RBG,Y:B4,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:B4,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1102M_20210402_9wk_FBG,Y:B5,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:B5,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1082M_20210329_9wk_FBG,Y:B6,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:B6,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1092M_20210406_9wk_RBG,Y:B7,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:B7,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1093M_20210410_10wk_FBG,Y:B8,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:B8,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1060M_20210405_10wk_FBG,Y:B9,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:B9,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1076M_20210405_10wk_FBG,Y:C1,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:C1,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_human_plasma_2,Y:A2,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:A2,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1101M_20210406_9wk_RBG,Y:C2,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:C2,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1102M_20210413_10wk_RBG,Y:C3,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:C3,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1074M_20210325_8wk_RBG,Y:C4,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:C4,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1060M_20210329_9wk_FBG,Y:C5,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:C5,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1091M_20210406_9wk_RBG,Y:C6,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:C6,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1101M_20210330_8wk_RBG,Y:C7,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:C7,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1091M_20210402_9wk_FBG,Y:C8,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:C8,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1076M_20210408_10wk_RBG,Y:C9,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:C9,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1092M_20210402_wk_FBG,Y:D1,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:D1,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1093M_20210327_8wk_FBG,Y:D2,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:D2,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1091M_20210413_10wk_RBG,Y:D3,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:D3,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1062M_20210325_8wk_RBG,Y:D4,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:D4,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T193M20210406_9wk_RBG,Y:D5,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:D5,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1082M_20210322_8wk_FBG,Y:D6,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:D6,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1076M_20210322_8wk_FBG,Y:D7,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:D7,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_human_plasma_3,Y:A2,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:A2,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T112M_20210330_8wk_RBG,Y:D8,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:D8,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1091M_20210330_8wk_RBG,Y:D9,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:D9,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1082M_20210405_10wk_FBG,Y:E1,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:E1,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1062M_20210401_9wk_RBG,Y:E2,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:E2,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1092_20210410_10wk_FBG,Y:E3,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:E3,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1101M_20210402_9wk_FBG,Y:E4,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:E4,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1093M_20210413_10wk_RBG,Y:E5,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:E5,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1074M_20210329_9wk_FBG,Y:E6,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:E6,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1076M_20210325_8wk_RBG,Y:E7,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:E7,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1102M_20210410_10wk_FBG,Y:E8,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:E8,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1074M_20210408_10wk_RBG,Y:E9,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:E9,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1093M_20210402_9wk_FBG,Y:F1,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:F1,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1062M_20210408_10wk_RBG,Y:F2,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:F2,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1082M_20210325_8wk_RBG,Y:F3,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:F3,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_human_plasma_4,Y:A2,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:A2,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1101M_20210410_10wk_FBG,Y:F4,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:F4,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1062M_20210329_9wk_FBG,Y:F5,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:F5,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1091M_20210410_10wk_FBG,Y:F6,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:F6,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1074M_20210405_10wk_FBG,Y:F7,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:F7,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1076M_20210401_9wk_RBG,Y:F8,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:F8,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1060M_20210325_8wk_RBG,Y:F9,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:F9,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1102M_20210406_9wk_RBG,SR:1,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,R:A1,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1062M_20210322_8wk_FBG,SR:2,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,R:A2,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1092M_20210330_8wk_RBG,SR:3,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,R:A3,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1091M_20210327_8wk_FBG,SG:1,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,R:A4,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1060M_20210408_10wk_RBG,SG:2,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,R:A5,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1102M_20210327_8wk_FBG,SG:3,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,R:A6,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1074M_20210322_8wk_FBG,SB:1,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,R:A7,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_T1082M_20210401_9wk_RBG,SB:2,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,R:A8,2,,0,0,0,1,,,,,,,
Unknown,20210831_KAO_HILIC_human_plasma_5,Y:A2,D:\data\KAO\20210831_KAO_HILIC_Huishi,D:\data\KAO\SmallMolecules_zicHILIC_newHF_20210227_150ul_35min_8minre-eq_centroid_430exclusion_dualPump,,,Y:A2,2,,0,0,0,1,,,,,,,
